Longitude,Latitude,OBJECTID,STSSN_ID,YEAR_,MONTH_,DAY_,Commonname,County,CONDITION,CLSL,CWSL,CLOC,CWOC
-80.56780287,28.55800537,52369,SJF2003083002,2003,8,30,Loggerhead,Brevard,Moderately decomposed,0,0,63.7,63.6
-80.56210287,28.43830534,52370,SJF2003083003,2003,8,30,Loggerhead,Brevard,Severely decomposed,0,0,64.9,59.3
-81.26370312,29.82800565,52371,KXC2003083101,2003,8,31,Green turtle,St. Johns,Alive,0,0,30.5,27.5
-80.29050276,27.46880511,52372,ADR2003090101,2003,9,1,Green turtle,St. Lucie,Severely decomposed,0,0,55,0
-81.39430318,30.38880578,52373,AWB2003090101,2003,9,1,Green turtle,Duval,Alive,0,0,68,65
-80.59170287,28.40110533,52374,MAM2003090101,2003,9,1,Loggerhead,Brevard,Severely decomposed,0,0,0,0
-80.60800288,28.30780531,52375,MAM2003090102,2003,9,1,Loggerhead,Brevard,Severely decomposed,0,0,86.2,80.1
-81.2122031,29.66860562,52376,MLB2003090101,2003,9,1,Green turtle,Flagler,Alive,0,0,0,0
-80.60450288,28.35770532,52377,NMY2003090101,2003,9,1,Green turtle,Brevard,Alive,28.4,22.9,29.5,25.9
-80.60090288,28.37650532,52378,NMY2003090102,2003,9,1,Loggerhead,Brevard,Fresh dead,0,0,84,79
-81.39630318,30.38170578,52379,AWB2003090201,2003,9,2,Loggerhead,Duval,Severely decomposed,0,0,80,74
-80.03600266,26.67320492,52380,CAP2003090201,2003,9,2,Hawksbill,Palm Beach,Severely decomposed,0,0,19.9,16.6
-80.59870287,28.22360529,52381,CCS2003090201,2003,9,2,Green turtle,Brevard,Alive,0,0,39.5,32.5
-80.04490266,26.77680494,52382,KES2003090201,2003,9,2,Leatherback,Palm Beach,Severely decomposed,0,0,0,0
-81.14490307,29.51740558,52383,LAO2003090201,2003,9,2,Loggerhead,Flagler,Severely decomposed,0,0,83,71
-81.18080309,29.5940056,52384,LAO2003090202,2003,9,2,Loggerhead,Flagler,Moderately decomposed,0,0,66,59
-80.76380294,28.83880543,52385,MXD2003090201,2003,9,2,Loggerhead,Volusia,Severely decomposed,0,0,0,78.7
-80.09330269,27.015605,52386,PAQ2003090201,2003,9,2,Loggerhead,Martin,Severely decomposed,0,0,83.8,59.7
-81.30670314,29.96230568,52387,RAB2003090201,2003,9,2,Loggerhead,St. Johns,Fresh dead,32,0,32,26
-81.36480316,30.19710574,52388,YEO2003090201,2003,9,2,Loggerhead,St. Johns,Moderately decomposed,0,0,71.1,63.5
-80.30550271,25.61510464,52389,BJA2003090301,2003,9,3,Loggerhead,Miami-Dade,Severely decomposed,70.5,58.4,0,0
-82.44390337,27.05760496,52390,DAF2003090301,2003,9,3,Loggerhead,Sarasota,Severely decomposed,94.5,0,0,0
-80.37670279,27.66080515,52391,EPD2003090301,2003,9,3,Loggerhead,Indian River,Fresh dead,0,0,0,0
-80.31640276,27.46110511,52392,KES2003090301,2003,9,3,Green turtle,St. Lucie,Alive,50.9,40.4,53.6,46.1
-80.56740287,28.43270534,52393,MMC2003090301,2003,9,3,Loggerhead,Brevard,Moderately decomposed,0,0,0,70
-82.72420346,27.51390506,52394,SLF2003090301,2003,9,3,Green turtle,Manatee,Moderately decomposed,0,0,0,0
-82.75980348,27.58600508,52395,TXW2003090301,2003,9,3,Loggerhead,Hillsborough,Moderately decomposed,86.6,66.4,0,0
-80.93910287,24.76680441,52396,JFH2003090401,2003,9,4,Green turtle,Monroe,Alive,52.6,43.5,55.5,50.8
-82.67830345,27.42650504,52397,JWW2003090401,2003,9,4,Loggerhead,Manatee,Fresh dead,63.5,55.9,68.6,63.5
-80.25420274,27.38130509,52398,MJB2003090401,2003,9,4,Green turtle,St. Lucie,Alive,40.9,31.3,43.4,37
-80.73500293,28.79400542,52399,MXD2003090401,2003,9,4,Loggerhead,Volusia,Moderately decomposed,0,0,0,66
-80.04920267,26.77270494,52400,PXD2003090401,2003,9,4,Green turtle,Palm Beach,Severely decomposed,65.9,51.7,72,0
-81.80920312,24.55580434,52401,RFC2003090401,2003,9,4,Green turtle,Monroe,Alive,48.3,38.1,50.8,44.5
-81.80990312,24.47200432,52402,RSK2003090401,2003,9,4,Green turtle,Monroe,Severely decomposed,40,30,0,0
-81.06610291,24.67330439,52403,SAS2003090401,2003,9,4,Loggerhead,Monroe,Alive,65.6,52.6,69.5,65
-80.88210298,29.01670547,52404,SDK2003090401,2003,9,4,Green turtle,Volusia,Alive,31.8,24.2,34.9,29.2
-82.43150337,27.03930495,52405,DES2003090501,2003,9,5,Loggerhead,Sarasota,Severely decomposed,0,0,0,0
-82.80480341,24.64900435,52406,KLG2003090501,2003,9,5,Loggerhead,Monroe,Fresh dead,0,0,29,26.3
-80.57240287,28.42830534,52407,MMC2003090501,2003,9,5,Loggerhead,Brevard,Fresh dead,0,0,0,90
-80.60740288,28.32910531,52408,NMY2003090501,2003,9,5,Green turtle,Brevard,Alive,0,0,29.4,26.2
-82.06460324,26.43250481,52409,SKB2003090501,2003,9,5,Loggerhead,Lee,Fresh dead,92,69.5,0,86.4
-81.27070312,29.87930566,52410,EDS2003090601,2003,9,6,Green turtle,St. Johns,Alive,29.6,24.7,30.8,26.6
-82.47250338,27.12800497,52411,GEH2003090601,2003,9,6,Kemp's ridley,Sarasota,Alive,43.4,42,45.5,47
-80.59730288,28.38670533,52412,NMY2003090601,2003,9,6,Green turtle,Brevard,Severely decomposed,0,0,40,34.4
-81.29190313,29.92170567,52413,PJL2003090601,2003,9,6,Loggerhead,St. Johns,Alive,0,0,0,0
-80.68390291,28.7228054,52414,DGG2003090701,2003,9,7,Loggerhead,Brevard,Fresh dead,0,0,32,29
-80.62530279,24.92960446,52415,KDS2003090701,2003,9,7,Loggerhead,Monroe,Moderately decomposed,0,0,91.4,83.8
-80.99740302,29.20780551,52416,SAP2003090701,2003,9,7,Loggerhead,Volusia,Moderately decomposed,70,50,74,68
-80.88730298,29.02530547,52417,SDK2003090701,2003,9,7,Loggerhead,Volusia,Moderately decomposed,85.1,63.6,89,81.6
-82.41230336,27.00900494,52418,ZMB2003090701,2003,9,7,Kemp's ridley,Sarasota,Severely decomposed,63.1,57.7,0,0
-80.35110278,27.64020515,52419,RLS2003090801,2003,9,8,Green turtle,Indian River,Alive,0,0,0,30.5
-80.79240295,28.88330544,52420,SJL2003090801,2003,9,8,Loggerhead,Volusia,Moderately decomposed,0,0,31.5,27.5
-80.55620285,28.06770525,52421,TMH2003090801,2003,9,8,Loggerhead,Brevard,Moderately decomposed,83.4,62.7,0,0
-80.60770288,28.32570531,52422,ABM2003090901,2003,9,9,Green turtle,Brevard,Moderately decomposed,0,0,33,30.5
-80.60670287,28.2852053,52423,ABM2003090902,2003,9,9,Green turtle,Brevard,Severely decomposed,63.5,55.3,0,0
-80.17870272,27.22310505,52424,CKC2003090901,2003,9,9,Green turtle,Martin,Severely decomposed,56.3,40.3,60.5,57
-80.42580281,27.81960519,52425,LWH2003090901,2003,9,9,Loggerhead,Indian River,Severely decomposed,0,0,61,53.8
-80.03580266,26.81640495,52426,LDW2003091001,2003,9,10,Loggerhead,Palm Beach,Severely decomposed,80.6,62.3,86.4,82.3
-80.4096028,27.78890518,52427,SEB2003091001,2003,9,10,Loggerhead,Indian River,Severely decomposed,0,0,78,77
-80.3990028,27.76800518,52428,SEB2003091002,2003,9,10,Loggerhead,Indian River,Severely decomposed,0,0,97,89
-81.35030316,30.14100572,52429,RPS2003091201,2003,9,11,Loggerhead,St. Johns,Moderately decomposed,0,0,0,0
-80.07810266,26.28790482,52430,SXO2003091101,2003,9,11,Loggerhead,Broward,Severely decomposed,0,0,101,96
-82.63040345,27.75230512,52431,AER2003091201,2003,9,12,Loggerhead,Pinellas,Moderately decomposed,68.3,0,72.3,0
-80.10940266,26.08570477,52432,CJD2003091201,2003,9,12,Green turtle,Broward,Moderately decomposed,0,0,64.7,62.2
-81.88500314,24.53670434,52433,CPR2003091201,2003,9,12,Loggerhead,Monroe,Alive,67.7,54.5,72.9,68.2
-80.07700268,26.96030499,52434,EPD2003091201,2003,9,12,Loggerhead,Palm Beach,Severely decomposed,94.5,71.6,98.4,91.3
-81.4349032,30.64360584,52435,VNL2003091201,2003,9,12,Loggerhead,Nassau,Severely decomposed,0,0,0,61
-80.60730288,28.2935053,52436,ABM2003091301,2003,9,13,Loggerhead,Brevard,Severely decomposed,0,0,53.3,0
-80.60710288,28.33180531,52437,CCS2003091301,2003,9,13,Green turtle,Brevard,Severely decomposed,0,0,119,104
-81.4358032,30.70530585,52438,MHW2003090301,2003,9,13,Hawksbill,Nassau,Severely decomposed,0,0,75,62
-80.60120288,28.37540532,52439,NMY2003091301,2003,9,13,Loggerhead,Brevard,Fresh dead,0,0,70.5,64.5
-82.72420346,27.51390506,52440,SLF2003091301,2003,9,13,Loggerhead,Manatee,Severely decomposed,0,0,83.1,78.4
-80.19210272,27.24730506,52441,ADR2003091401,2003,9,14,Loggerhead,Martin,Severely decomposed,0,0,102.5,88.2
-80.91830299,29.06290548,52442,CMA2003091401,2003,9,14,Loggerhead,Volusia,Moderately decomposed,0,46.9,0,55.3
-80.89760299,29.04360548,52443,CMA2003091402,2003,9,14,Loggerhead,Volusia,Severely decomposed,71.1,56.2,75.4,73.2
-80.19050272,27.17330504,52444,EPD2003091401,2003,9,14,Green turtle,Martin,Alive,38.9,33,40.6,35.8
-80.82730296,28.95410546,52445,KXP2003091401,2003,9,14,Loggerhead,Volusia,Moderately decomposed,0,0,88.9,63.5
-80.95000288,24.78650442,52446,SAS2003091401,2003,9,14,Green turtle,Monroe,Alive,48.8,39.9,50.4,45
-82.09170325,26.42330481,52447,SKB2003091401,2003,9,14,Loggerhead,Lee,Moderately decomposed,97.5,68,98,85
-82.97100359,29.15500545,52448,BXH2003091501,2003,9,15,Green turtle,Levy,Fresh dead,0,0,67.5,55.7
-80.60770288,28.31850531,52449,CCS2003091501,2003,9,15,Loggerhead,Brevard,Alive,0,0,29.5,25
-80.55920285,28.07450525,52450,DAB2003091501,2003,9,15,Loggerhead,Brevard,Dried carcass,67.6,49.8,69,63.3
-80.47130282,27.90410521,52451,DAB2003091502,2003,9,15,Loggerhead,Brevard,Dried carcass,0,0,61,56
-82.76240352,28.79360537,52452,GRH2003091501,2003,9,15,Loggerhead,Citrus,Alive,24.3,22.1,26,26.2
-80.05390267,26.83130496,52453,KES2003091501,2003,9,15,Loggerhead,Palm Beach,Moderately decomposed,0,0,0,0
-80.59040287,28.17940528,52454,CCS2003091602,2003,9,16,Loggerhead,Brevard,Alive,0,0,74,69
-81.07490305,29.36810555,52455,DXL2003091601,2003,9,16,Loggerhead,Volusia,Severely decomposed,75,66.1,81,80
-80.62630289,28.64720539,52456,KXK2003091601,2003,9,16,Loggerhead,Brevard,Severely decomposed,0,0,40,0
-81.15110308,29.53000559,52457,LAO2003091601,2003,9,16,Loggerhead,Flagler,Dried carcass,0,0,77,72
